Video title,Video publish time,End screen element clicks,Card clicks,Views from playlist,Comments added,Shares,Likes (vs. dislikes) (%),Dislikes,Likes,Subscribers lost,Subscribers gained,Average percentage viewed (%),Views,Watch time (hours),Subscribers,Average view duration,Impressions,Impressions click-through rate (%)
Fakhar Zaman's Explosive Knock | 1️⃣1️⃣5️⃣ Runs Blitz vs Islamabad United in 2023 | HBL PSL | MI2A,20-Dec-23,1182,0,,15,1086,97.66,28,1167,13,125,42.77,95119,3514.8411,112,0:02:13,1132905,6.96
All Top Sixes Collection in HBL PSL 8 | HBL PSL 8 | MI2A,26-Mar-23,1170,1,82,22,1544,98.58,24,1661,19,209,40.16,134953,7286.1044,190,0:03:14,1625890,6.26
375-3 | Highest Ever ODI Score At Home Soil By Pakistan | Pakistan vs Zimbabwe | ODI | PCB | M3C2A,21-Sep-23,1164,0,,20,190,95.91,40,938,18,203,32.76,209044,9852.9267,185,0:02:49,2416138,7.5
2nd Innings Highlights | Multan Sultans vs Peshawar Zalmi | Match 9 | HBL PSL 9 | M2A1A,23-Feb-24,1160,0,132,83,737,98.63,33,2368,33,380,53.95,220795,18630.1539,347,0:05:03,2163847,8.76
The Final | Highlights | Pakistan vs England | T20I | PCB | MU2F,14-Nov-22,1159,0,182,71,1514,94.97,380,7171,54,1740,20.52,1213521,77459.2108,1686,0:03:49,12308997,9.12
PSL 9 | TKC & Babar's Class | Abrar Have No Answer | Peshawar Zalmi vs Quetta Gladiators | M1Z2A,8-Mar-24,1158,0,8,11,162,99.09,4,436,3,43,60,30206,513.5349,40,0:01:01,292874,8.05
PSL 9 | 1st Innings Highlights | Karachi Kings vs Quetta Gladiators | Match 16 | M2A1A,29-Feb-24,1157,0,313,61,452,97.81,48,2141,30,281,55.19,204913,15486.4869,251,0:04:32,1535935,11.88
Highlights | Pakistan vs New Zealand | ODI | PCB | M2B2A,3-Aug-23,1153,0,2,73,835,97.01,117,3790,31,664,28.83,365647,36930.9176,633,0:06:03,6006299,5.11
2nd Innings Powerplay | Lahore Qalandars vs Multan Sultans | Match 14 | HBL PSL 9 | M2A1A,27-Feb-24,1141,0,5,6,41,97.61,10,408,4,40,67.49,43265,1614.1488,36,0:02:14,298357,10.84
10 Wickets Victory | Babar & Rizwan's Unbeaten Knock vs England | 2nd T20I 2022 | PCB | MU2A,23-May-24,1131,0,45,140,1044,95.16,215,4230,54,871,25.53,609349,44430.6994,817,0:04:22,5456542,8.52
Shaheen Afridi Takes 3 Wickets | Gulf Giants vs Desert Vipers | Match 7 | DP World ILT20,24-Jan-24,1126,0,7,13,587,99.22,5,640,10,50,63.03,41191,411.1067,40,0:00:35,357658,9
Most Aggressive Batting by Ahmed Shehzad In PSL History | KHI Kings vs Quetta Gladiators | PSl|M1G1,21-Dec-19,1123,0,,26,110,96.25,28,719,14,102,28.68,67217,6324.587,88,0:05:38,970862,5.62
PSL 9 | 1st Innings Highlights | Karachi Kings vs Peshawar Zalmi | Match 29 | M2A1A,11-Mar-24,1122,0,2397,81,531,98.71,37,2823,30,298,55.71,248237,19784.2297,268,0:04:46,1566627,13.75
Highlights | South Africa vs Pakistan | 4th T20I 2021 | CSA | MJ2A,26-Aug-23,1120,0,2,28,726,96.62,131,3747,34,533,31.9,443099,38397.4514,499,0:05:11,5984642,5.87
Winning Moments | Pakistan vs New Zealand | 5th T20I 2024 | PCB | M2E2A,27-Apr-24,1115,0,,37,127,98.62,10,716,3,48,49.64,48821,760.7038,45,0:00:56,327514,11.23
Highlights | Pakistan vs West Indies | T20I | PCB | MK1L,18-Aug-23,1114,0,3,44,591,96.51,117,3235,34,723,36.4,353669,34188.7581,689,0:05:48,5055962,5.91
1st Innings Highlights | Quetta Gladiators v Islamabad United | Match 8 | HBL PSL 9 | M2A1A,22-Feb-24,1110,0,139,56,572,97.72,64,2742,39,516,50.78,275199,19719.319,477,0:04:17,2680805,9.41
2nd Innings Highlights | Quetta Gladiators vs Peshawar Zalmi | Match 2 | HBL PSL 9 | M2A1A,18-Feb-24,1109,0,251,88,1178,98.11,73,3796,52,1107,45.93,290478,18865.4518,1055,0:03:53,3245343,7.93
Babar Azam Smashing Century 💯 Against West Indies | Pakistan vs West Indies | ODI | PCB | MO2A,9-Jul-23,1093,2,1,12,270,97.13,14,474,4,56,43.83,45161,1605.47,52,0:02:07,94511,5.97
Highlights | Pakistan vs Bangladesh | T20I | PCB | MA2L,17-Apr-22,1092,0,,15,592,95.35,50,1025,9,461,19.8,214980,11326.1601,452,0:03:09,1777002,9.89
PSL 9 | Last Over Victory | Islamabad United vs Multan Sultans | Match 27 | M1Z2A,10-Mar-24,1092,0,162,51,815,98.77,19,1525,7,119,55.55,136405,2209.8496,112,0:00:58,839206,10.12
Abrar Ahmed vs Mark Wood | Pakistan vs England | 2nd Test Day 4 | PCB | MY2L,12-Dec-22,1088,0,,4,102,99.54,2,430,6,27,64.5,47814,882.3205,21,0:01:06,423142,10.01
2nd Innings Highlights | Pakistan vs New Zealand | 3rd T20I 2024 | PCB | M2E2A,21-Apr-24,1084,0,4,362,648,96.93,106,3343,33,558,46.27,449203,28633.7554,525,0:03:49,4360158,8.57
Let's Rewind All Longest Sixes in HBL PSL History | HBL PSL | MI2T,19-Jan-23,1083,0,,9,112,97.79,23,1018,17,120,43.47,87229,5308.2941,103,0:03:39,1285952,4.8
Jake Fraser-McGurk Attacking Shots | Dubai Capitals vs Abu Dhabi Night Riders | Match 8 | ILT20,26-Jan-24,1074,0,4,51,1698,99.09,28,3034,21,377,68.78,324727,3660.4561,356,0:00:40,2632776,11.45
Highlights | Pakistan vs West Indies | T20I | PCB | MK2A,18-May-23,1073,0,6,1,241,97.11,13,437,7,60,31.95,69887,6474.6208,53,0:05:33,608487,7.26
Pakistan vs West Indies | 1st T20I Highlights | PCB | MA2E,17-May-21,1073,0,1,1,42,99.35,1,154,1,39,37.35,43777,5246.2681,38,0:07:11,357660,9.18
PSL 9 | 2nd Innings Powerplay | Peshawar Zalmi vs Islamabad United | Match 33 | M2A1A,16-Mar-24,1070,0,,8,82,97.74,12,518,6,45,69.87,57833,2143.9862,39,0:02:13,273453,16.09
Pakistan Need 44 Runs in 24 Balls | Thrilling End | Pakistan vs West Indies | ODI | PCB | MO2A,14-May-23,1068,0,3,5,89,96.61,13,370,4,72,39.68,65663,3539.36,68,0:03:14,458078,8.13
PSL 9 | 1s Innings Highlights | Quetta Gladiators vs Lahore Qalandars | Match 28 | M2A1A,10-Mar-24,1067,0,2004,48,295,98.24,33,1838,20,191,53.4,155371,11500.4612,171,0:04:26,1187038,11.43
High Voltage Drama at Start | Victory for Pakistan | New Zealand vs Pakistan | PCB,22-Jan-24,1060,0,2,30,583,95.5,156,3313,40,659,25.97,466127,39919.3888,619,0:05:08,4584448,8.65
Haris Rauf's 19TH Over | Multan Sultans vs Lahore Qalandars | Match 34 Final | HBL PSL 8 | MI2A,18-Mar-23,1060,0,18,7,554,100,0,233,3,41,57.26,30124,560.616,38,0:01:06,297297,8.19
PSL 9 | 2nd Innings Highlights | Karachi Kings vs Quetta Gladiators | Match 16 | M2A1A,29-Feb-24,1058,0,193,79,589,98.44,35,2205,20,248,58.74,191489,15527.257,228,0:04:51,1794373,9.27
Gearing 🆙First net session of the World Cup 🏏#WeHaveWeWill | #CWC23,28-Sep-23,1057,0,108,41,336,98.89,23,2050,13,270,50.43,114948,1900.0992,257,0:00:59,953827,10.23
Highlights | Pakistan vs New Zealand | ODI | PCB | MZ2A,16-Sep-23,1048,0,1,31,346,95.85,104,2400,31,400,32.03,265065,27990.0114,369,0:06:20,3318884,5.87
Haris Rauf vs Ihsanullah | Pace vs Pace | Lahore vs Multan | Match31 | HBL PSL 8 | MI2A,15-Mar-23,1040,0,,6,632,97.95,9,430,4,47,60.68,40236,793.4498,43,0:01:10,399322,8.43
PSL 9 | 1st Innings Highlights | Karachi Kings vs Multan Sultans | Match 19 | M2A1A,3-Mar-24,1038,0,100,52,509,98,51,2499,16,327,59.01,192048,16368.546,311,0:05:06,1522428,10.74
Abrar Ahmed is The Next Saeed Ajmal For Pakistan | PCB | MY2A,9-Apr-23,1023,0,12,148,530,98.31,51,2967,29,373,27.97,421060,22079.9081,344,0:03:08,6301031,5.54
PSL 9 | 1st Innings Powerplay | Multan Sultans vs Islamabad United | Match 34 Final | M2A1A,18-Mar-24,1017,0,1,7,56,97.91,10,468,2,49,57.9,51175,1646.044,47,0:01:55,262739,15.7
PSL 9 | 2nd Innings Powerplay | Peshawar Zalmi vs Quetta Gladiators | Match 25 | M2A1A,8-Mar-24,1017,0,4,4,42,99.34,2,300,2,34,66.89,34452,748.9761,32,0:01:18,259036,10.47
Fakhar Zaman vs Shadab Khan | 6 - 6 - 6 - 6 | Islamabad vs Lahore | Match 26 | HBL PSL 8 | MI2A,9-Mar-23,1016,0,1,5,633,99.19,3,368,5,43,55.65,36639,668.3227,38,0:01:05,405164,7.81
PSL 9 | Ending Ceremony | Islamabad United vs Multan Sultans | Match 27 | M1Z2A,10-Mar-24,1014,0,3,21,62,99.09,14,1531,4,160,37.83,39474,1995.2279,156,0:03:01,578427,5.8
Top T20I Action | Unforgettable Matchup | Pakistan vs New Zealand | T20I | PCB | M2B2A,19-Apr-24,1009,0,4,95,1081,96.69,185,5399,39,1237,22.44,644521,42230.4692,1198,0:03:55,5327569,9.98
PSL 9 | 1st Innings Powerplay | Peshawar Zalmi vs Islamabad United | Match 33 | M2A1A,16-Mar-24,1003,0,,5,69,99.14,3,345,6,20,61.5,29154,901.4862,14,0:01:51,157405,14.45
Let's Rewind Record Chase By King Babar Azam & Superman Mohammad Rizwan | T20I | PCB | MK2A,30-Jul-23,1002,0,2,42,528,97.2,61,2114,26,434,31.2,461631,20885.1742,408,0:02:42,4073007,9.66
Highlights | South Africa vs Pakistan | T20I | CSA | MJ2A,19-Jul-23,997,0,3,19,351,96.67,74,2151,26,346,34.43,219653,20941.3615,320,0:05:43,3167146,5.35
Zaman Khan is Selected For #AsiaCup2023 | Watch His Match Winning Bowling | HBL PSL | MI2A,12-Sep-23,996,1,43,153,602,98.47,49,3146,26,392,34.67,425009,14612.6667,366,0:02:03,4405026,8.36
PSL 9 | Naseem Shah Interview | Multan Sultans vs Islamabad United | Match 34 Final | M2A1A,18-Mar-24,994,0,1,9,101,99.41,4,671,1,17,57.2,38174,539.7811,16,0:00:50,253809,9.68
Highlights | Pakistan vs New Zealand | ODI | PCB | M2B2A,16-May-23,993,0,778,47,1626,95.44,216,4519,44,1461,20.12,784371,54347.9699,1417,0:04:09,6761742,10.11
Highlights | Pakistan vs West Indies | 1st ODI 2022 | PCB | MO2L,8-Jul-22,993,0,16,8,369,94.33,37,615,9,130,30.31,112884,10453.0224,121,0:05:33,931418,8.89
Highlights | Pakistan vs Australia | 2nd Test Day 4 | PCB | MM2A,13-Dec-23,990,0,4,44,228,97.74,55,2374,21,428,34.81,276150,14498.3431,407,0:03:09,1660302,14.27
Most Intresting Match | Pakistan Vs Australia | 2nd T20 | Full Highlights | PCB|M7C2,23-Dec-19,988,0,1,4,133,92.67,52,657,6,176,36.09,109502,12603.2458,170,0:06:54,1944156,3.63
Captain And Coach Rally The Boys as The Preps Continue 💪 | PCB | MA2A,19-Oct-23,987,0,8,50,65,99.08,8,863,4,63,53.29,35994,607.4463,59,0:01:00,282970,10.64
Lahore Qalandars Vs Karachi Kings | Full Match Highlights | Match 23 | HBL PSL 5 | 2020|MB2,8-Mar-20,986,0,3,2,133,95.16,17,334,7,85,34.09,57420,7954.1874,78,0:08:18,822043,4.51
Full Highlights | South Africa vs India | 1st Test Day 5 | CSA | MI1T,2-Jan-22,984,0,164,6,104,98.15,11,583,9,130,26.26,62005,2189.2837,121,0:02:07,526098,10.66
2nd Innings Powerplay | Multan Sultans vs Islamabad United | Match 5 | HBL PSL 9 | M2A1A,20-Feb-24,977,0,139,19,150,97.93,14,661,13,119,55.31,74576,3368.7515,106,0:02:42,569607,11.63
1st Innings Highlights | Quetta Gladiators vs Peshawar Zalmi | Match 2 | HBL PSL 9 | M2A1A,18-Feb-24,976,0,201,33,873,98.49,32,2092,31,615,44.24,147991,8855.9103,584,0:03:35,1399138,9.35
PSL 9 | Saim Ayub & Babar Azam's Show Time | Peshawar Zalmi vs Multan Sultans | Match 21 | M1Z2A,5-Mar-24,969,0,152,24,651,98.73,18,1402,11,133,56.38,111893,2085.283,122,0:01:07,759002,12.59
Highlights | Pakistan vs England | 3rd T20I 2015 | PCB | MA2A,9-Apr-23,967,0,25,63,2264,96.17,226,5668,47,976,35.47,563244,55157.4835,929,0:05:52,9575377,4.53
Most Epic & Thrilling Match | PAK Need 16 Runs in 12 Balls | Pakistan vs South Africa | PCB | ME2A,1-Apr-23,963,1,2,1,1,93.33,4,56,0,23,46.28,11464,427.3768,23,0:02:14,1693,2.66
Amazing Last 2 Overs | Final Ball Thriller | Pakistan vs New Zealand | 3rd T20I 2023 | PCB | M2B2A,17-Apr-23,953,0,,5,498,96.64,10,288,3,135,51.94,46620,786.9701,132,0:01:00,535705,7.78
Mohammad Amir Showing His Magic | Desert Vipers vs Gulf Giants | Match 19 | DP World ILT20,3-Feb-24,951,0,1,29,711,99.56,5,1134,13,102,67.58,66654,738.2042,89,0:00:39,543193,8.93
Mohammad Rizwan vs Nathan Lyon | Last Over Battle | Pakistan vs Australia | Test | PCB | MM2A,12-Apr-24,949,0,1,30,141,95.89,48,1120,22,117,33.53,291226,8788.8586,95,0:01:48,3111956,6.66
A Fighting Century By Inzamam-ul-Haq Against India | Pakistan vs India | 1st ODI 2004 | PCB | MA2A,21-May-23,946,0,3,32,325,98.81,13,1083,12,153,67.02,151934,2517.2311,141,0:00:59,1036935,13.62
PSL 9 | Dramatic Last Over | Peshawar Zalmi vs Multan Sultans | Match 21 | M1Z2A,5-Mar-24,944,0,16,11,235,98.35,7,416,1,28,68.49,46573,948.0229,27,0:01:13,398777,8.66
PSL 9 | 1st Innings Highlights | Islamabad United vs Karachi Kings | Match 24 | M2A1A,7-Mar-24,937,0,775,57,339,98.27,37,2099,20,231,52.86,202661,15295.9878,211,0:04:31,1443451,12.38
PSL 9 | 1st Innings Highlights | Islamabad United vs Multan Sultans | Match 27 | M2A1A,10-Mar-24,936,0,1514,66,722,98.25,55,3082,23,305,54.55,232475,18141.9283,282,0:04:40,1795373,11.09
Can Pakistan Chase this Historical Target vs New Zealand | PCB | M2B2A,4-Nov-23,936,0,86,17,498,96.51,46,1272,5,206,22.44,211192,8372.5206,201,0:02:22,1310160,12.7
"Watch The Moment Usman Khan, Muhammad Irfan Khan And Abrar Ahmed Received Their T20I Caps 🧢🌟 | M2E2A",18-Apr-24,936,1,2,41,152,99.01,25,2497,13,199,62.93,120605,1792.0859,186,0:00:53,1186623,8.24
2nd Innings Powerplay | Multan Sultans vs Lahore Qalandars | Match 7 | HBL PSL 9 | M2A1A,21-Feb-24,935,0,84,9,90,98.46,9,577,11,57,52.98,54551,2360.1571,46,0:02:35,440565,10.8
Highlights | Pakistan vs New Zealand | ODI | PCB | M2B2A,28-Aug-23,927,0,,102,707,96.37,138,3659,53,816,30.09,419652,44823.3866,763,0:06:24,6490348,5.54
Babar Azam Century Moments | Peshawar Zalmi vs Islamabad United | Match 13 | HBL PSL 9 | M2A1A,26-Feb-24,927,0,6,84,929,99.09,13,1410,9,62,60.25,53002,753.9518,53,0:00:51,365266,11.54
Nail Biter Over | Heart-Stopping Moment | Lahore vs Quetta | Match 4 | HBL PSL 9 | M2A1A,19-Feb-24,926,0,40,17,92,97.51,5,196,4,28,50.08,44104,1128.9883,24,0:01:32,438508,9.11
Fiery Reply By Zalmi in Powerplay | Quetta Gladiators vs Peshawar Zalmi | Match 2 | HBL PSL9 | M2A1A,18-Feb-24,925,0,28,8,98,98.43,8,503,6,78,52.35,35448,1469.1034,72,0:02:29,297512,10.74
Heavy Fight | Shaheen vs Iftikhar | Lahore Qalandars vs Multan Sultans | Match 14 | HBL PSL9 | M2A1A,27-Feb-24,923,0,39,48,376,93.36,77,1083,7,89,58.89,144894,4432.1229,82,0:01:50,1059878,11.79
Highlights | Pakistan vs Australia | 1st Test Day 5 | PCB | MM2A,9-Dec-23,917,0,27,48,414,96.71,117,3439,48,966,32.54,556120,28902.0143,918,0:03:07,3346047,15
Highlights | Pakistan vs Australia | 2nd Test Day 5 | PCB | MM2A,14-Dec-23,916,0,2,29,288,96.87,73,2256,30,559,33.76,283684,18275.7002,529,0:03:51,1930478,12.43
2nd Innings Powerplay | Lahore Qalandars vs Karachi Kings | Match 10 | HBL PSL 9 | M2A1A,24-Feb-24,916,0,5,9,34,98.13,8,420,6,39,60.09,46949,2170.8985,33,0:02:46,324823,11.75
1st Ever Super Over Of PSL History | Lahore Qalandars vs Islamabad United | HBL PSL | MB2L,21-Jan-23,910,0,,35,916,97.6,86,3493,25,479,41.31,381797,21819.8173,454,0:03:25,4845910,6.17
Battle Between Babar Azam And Saqlain Mushtaq | PCB | MA2L,15-Dec-21,910,0,,69,188,97.15,38,1297,16,170,48.34,161885,4282.6284,154,0:01:35,1518549,9.51
PSL 9 | 2nd Innings Powerplay | Peshawar Zalmi vs Multan Sultans | Match 21 | M2A1A,5-Mar-24,908,0,1,7,68,97.81,10,446,7,41,65.84,52847,1845.9923,34,0:02:05,275990,14.92
2nd Innings Highlights | Lahore Qalandars vs Peshawar Zalmi | Match 12 | HBL PSL 9 | M2A1A,25-Feb-24,908,0,22,69,588,97.97,50,2415,17,323,50.52,214879,15380.3377,306,0:04:17,1769190,10.64
Haris Rauf Historical Last 2 Overs vs England | T20I | PCB | MU2L,26-Jun-23,905,0,,19,787,98.79,21,1719,10,109,41.68,110603,5122.5297,99,0:02:46,1227834,6.43
Highlights | Pakistan vs Australia | ODI | PCB | MM2A,22-Aug-23,903,0,,124,627,96.47,110,3002,42,537,28.36,333058,27494.8229,495,0:04:57,3432769,8.56
The Final | Highlights | Pakistan vs England | T20I | PCB | MU2L,13-Nov-22,902,4,130,262,5835,95.06,1247,24014,240,5794,21.63,2761913,209063.0481,5554,0:04:32,34939216,6.77
PSL 9 | 4️⃣-4️⃣-4️⃣ | Saim Ayub vs Faheem Ashraf | Peshawar Zalmi vs Islamabad United | M2A1A,16-Mar-24,901,0,1,5,23,98.3,6,347,3,40,46.07,30433,837.3155,37,0:01:39,215024,11.6
Pakistan Amazing Victory | Pakistan vs New Zealand | 3rd T20I Highlights | PCB | MA2E,6-May-21,895,0,1,9,193,94.73,42,755,5,165,37.05,141914,17060.3773,160,0:07:12,1520909,7.2
PSL 9 | 2nd Innings Powerplay | Islamabad United vs Quetta Gladiators | Match 32 | M2A1A,15-Mar-24,889,0,1,7,46,98.62,4,286,4,16,68.81,28814,1151.1043,12,0:02:23,143128,15.84
Highlights | South Africa vs Pakistan | 2nd ODI 2021 | CSA | MJ2A,29-Aug-23,889,0,,47,490,96.99,55,1771,16,241,35.5,188033,20171.7424,225,0:06:26,2411639,6.28
2nd Innings Highlights | Multan Sultans vs Islamabad United | Match 5 | HBL PSL 9 | M2A1A,20-Feb-24,888,0,451,77,820,97.69,80,3379,51,832,45.42,428562,27304.451,781,0:03:49,4046832,9.62
🇵🇰🤝🇳🇵 Funny Moments of Mohammad Rizwan with Nepal Teammates | PCB | MA2A,28-Aug-23,884,0,2,71,306,99.62,10,2650,8,287,69.81,81140,629.4067,279,0:00:27,641502,11.37
Ending Ceremony | Lahore Qalandars vs Multan Sultans | Match 14 | HBL PSL 9 | M1Z2A,27-Feb-24,883,0,22,39,115,98.98,16,1556,11,209,44.35,48016,2383.9397,198,0:02:58,691900,5.56
Historical Victory | Hasan Ali The HERO | Pakistan vs South Africa | T20I | PCB | ME2A,26-Jul-23,878,1,,24,237,97.54,36,1428,32,222,29.64,193058,12604.1003,190,0:03:55,2621929,5.69
Highlights | Pakistan vs New Zealand | 5th T20I 2024 | PCB | M2E2A,7-May-24,875,0,3,54,480,95.13,160,3127,29,681,29.91,419338,39059.2243,652,0:05:35,5964101,5.77
PSL 9 | 2nd Innings Powerplay | Islamabad United vs Lahore Qalandars | Match 23 | M2A1A,6-Mar-24,874,0,2,3,26,100,0,254,2,20,72.23,23914,983.6511,18,0:02:28,161608,12.17
New Zealand's Dramatic Fall of Wickets | Kiwis All Out on 90 Runs at Rawalpindi | PCB | M2E2A,30-Apr-24,874,0,1,125,423,96.92,103,3244,34,485,31.59,714603,25329.9443,451,0:02:07,5715253,10.87
Highlights | South Africa vs Pakistan | T20I | CSA | MJ2A,12-Nov-23,872,0,1,7,138,96.98,18,579,7,111,31.62,91946,8051.1256,104,0:05:15,1234669,5.71
PSL 9 | 1st Innings Highlights | Multan Sultans vs Peshawar Zalmi | Match 31 | Qualifier | M2A1A,14-Mar-24,872,0,1862,56,409,97.73,49,2108,26,260,52.75,194258,14517.2816,234,0:04:29,1289924,13.11
PSL 9 | Thrilling End of PSL History | Karachi Kings vs Lahore Qalandars | Match 26 | M1Z2A,9-Mar-24,865,0,42,22,588,98.46,10,639,6,62,61.81,68642,1225.7669,56,0:01:04,466347,8.08
PSL 9 | 1st Innings Powerplay | Islamabad United vs Quetta Gladiators | Match 32 | M2A1A,15-Mar-24,863,0,,6,58,99.11,3,334,3,22,58.84,37103,1194.6675,19,0:01:55,207787,14.72
5 Wicket Haul By Naseem Shah | Naseem Shah At His Very Best | W - W - W - W - W | HBL PSL | MB2A,17-May-23,863,1,,18,993,97.93,36,1704,16,149,41.96,159775,5344.9196,133,0:02:00,1622532,7.88
Babar Azam & Shaheen Afridi Completely Dominated New Zealand With The Bat | PCB | M2B2A,14-Jun-23,862,0,,7,95,96.38,22,585,5,118,36.33,89396,5944.4719,113,0:03:59,996517,7.05
Last 3 Thrilling Overs | Pakistan vs Australia | 2nd Test Day 5 | PCB | MM2A,17-May-23,861,0,5,22,244,97.64,62,2566,33,541,30.89,450829,19613.7986,508,0:02:36,4566187,8.29
Kiwis at Strong Position in Powerplay | Pakistan vs New Zealand | 4th T20I 2024 | PCB | M2E2A,25-Apr-24,859,0,1,19,22,99.18,2,241,3,38,52.01,67087,1124.3471,35,0:01:00,417010,10.18
Shoaib Malik Played a Fighting Knock | Multan Sultans vs Karachi Kings | Match 3 | HBL PSL 9 | M2A1A,18-Feb-24,859,0,218,52,422,96.97,53,1697,16,216,47.78,280076,7731.9236,200,0:01:39,2370340,10.88
Match Winning Century By Babar Azam | Pakistan vs West Indies | 2nd ODI | MA2T,6-Jun-22,857,0,,22,1078,98.8,20,1644,15,169,33.63,105291,4731.5164,154,0:02:41,1092390,8.14
Highlights | Pakistan vs South Africa | T20I | PCB | ME2A,17-Sep-23,855,0,,37,376,94.61,122,2143,34,545,33.67,336827,35440.7059,511,0:06:18,5974304,4.55
Revenge Completed | Azam Khan vs Naseem Shah | Quetta vs Islamabad | Match 13 | HBL PSL 8 | MI2A,24-Feb-23,852,0,,10,241,97.35,10,368,7,55,59.54,79598,1566.6047,48,0:01:10,703697,9.81
Highlights | Pakistan vs South Africa | ODI | PCB | MA2A,8-Feb-23,850,0,4,77,3228,96.66,301,8722,89,2052,36.49,971288,99718.8718,1963,0:06:09,20252867,3.5
Full Highlights | Pakistan vs New Zealand | 5th T20I 2024 | PCB | M2E2A,27-Apr-24,849,0,11,1085,12518,95.74,1655,37214,327,7315,35,2823794,375292.9302,6988,0:07:58,38514155,6.19
PSL 9 | 1st Innings Highlights | Karachi Kings vs Lahore Qalandars | Match 26 | M2A1A,9-Mar-24,849,0,1797,30,431,97.93,49,2313,31,228,57.8,188036,15066.1527,197,0:04:48,1337776,12.44
Game Changing Over | Shaheen vs Ihsanullah | Multan vs Lahore | Match 34 Final | HBL PSL 8 | MI2A,18-Mar-23,848,0,11,0,185,97.66,5,209,0,11,62.33,16389,326.3109,11,0:01:11,130681,10.01
1st Innings Highlights | Multan Sultans vs Islamabad United | Match 5 | HBL PSL 9 | M2A1A,20-Feb-24,848,0,294,54,619,97.77,46,2017,40,450,51.37,195976,14122.9408,410,0:04:19,1696933,10.44
PSL 9 | Full Highlights | Multan Sultans vs Peshawar Zalmi | Match 31 | Qualifier | M2A1A,14-Mar-24,846,0,7631,421,5233,96.88,559,17361,136,2106,38.49,1032663,157767.2057,1970,0:09:09,8744889,10.03
Highlights | Pakistan vs England | T20I | PCB | MU2A,30-Jul-23,844,0,,35,466,96.8,60,1816,21,294,34.72,153523,15665.7084,273,0:06:07,2283910,5.54
2nd Innings Highlights | Lahore Qalandars vs Quetta Gladiators | Match 4 | HBL PSL 9 | M2A1A,19-Feb-24,841,0,190,77,756,97.93,60,2839,40,533,49.8,264967,18141.9592,493,0:04:06,2852741,8.25
👑 King vs 👑 King | Babar Azam vs Shahid Afridi | HBL PSL | MB2A,13-Jun-23,837,0,9,22,637,97.11,23,772,8,109,48.47,76823,2140.9552,101,0:01:40,813877,7.61
PSL 9 | Ending Ceremony | Peshawar Zalmi vs Islamabad United | Match 33 | M1Z2A,16-Mar-24,835,0,36,102,206,98.56,56,3826,19,582,33.53,148866,7543.0061,563,0:03:02,1325402,9.12
Mohammad Irfan vs Glenn Maxwell | Pakistan vs Australia | 1st ODI 2014 | PCB | MA2A,5-Apr-23,831,2,101,11,308,98.97,6,579,5,64,53.97,49956,1295.732,59,0:01:33,467991,9.07
PSL 9 | Unbelievable Collapse of Quetta | Islamabad United vs Quetta Gladiators | Match 32 | M1Z2A,15-Mar-24,831,0,20,21,241,97.82,13,582,9,46,63.98,41308,873.6209,37,0:01:16,297124,10.17
High Scoring Match | Babar & Rizwan Creates History | Pakistan vs West Indies | T20I | PCB | MK2A,26-Jan-24,829,0,4,17,382,95.73,75,1683,17,372,31.91,235781,22197.9972,355,0:05:38,3597350,4.85
PSL 9 | Martin Guptill & Azam Khan's Show | Multan Sultans vs Islamabad United | Match 34 | M1Z2A,18-Mar-24,829,0,,2,45,98.55,2,136,0,16,54.69,23527,328.8188,16,0:00:50,140057,9.61
2nd Innings Powerplay | Pakistan vs New Zealand | 5th T20I 2024 | PCB | M2E2A,27-Apr-24,828,0,2,11,68,97.81,8,358,3,40,57.39,53617,1008.5387,37,0:01:07,345103,11.55
Ending Ceremony | Lahore Qalandars vs Peshawar Zalmi | Match 12 | HBL PSL 9 | M1Z2A,25-Feb-24,828,0,60,54,187,99.19,30,3669,30,538,36.1,111107,4980.9414,508,0:02:41,1261647,7.64
Let's Reflect and Enjoy Some Funny Moments of Aleem Dar on the Field | PCB | M2B2A,29-Apr-23,826,0,3,9,378,99.2,5,617,5,74,60.47,48385,1284.1181,69,0:01:35,354554,9.9
PSL 9 | 2nd Innings Powerplay | Multan Sultans vs Islamabad United | Match 34 Final | M1Z2A,18-Mar-24,818,0,5,4,48,97.95,6,287,4,27,63.19,41938,853.9204,23,0:01:13,209467,14.15
Unplayable Bowling By Naseem Shah | Pakistan vs New Zealand | 2nd Test Day 1 | PCB | MZ2L,2-Jan-23,817,0,,4,903,99.49,2,389,2,32,58.26,27916,533.1171,30,0:01:08,271669,8.32
Need 1️⃣9️⃣ Runs in Last 6️⃣ Balls | Exciting Last Over | Pakistan vs South Africa | PCB | ME2A,25-Aug-23,815,0,1,6,45,98.01,7,344,10,23,54.11,28112,1254.8831,13,0:02:40,263380,6.71
Shan Masood Incredible Batting | One Man Army | PCB | MA2T,28-Oct-22,813,0,,6,149,98.43,6,375,6,43,50.55,35906,594.9886,37,0:00:59,260644,12.76
Dream Debut by Abrar Ahmed Against England | Pakistan vs England | Test | PCB | MY2L,21-Dec-22,813,1,366,54,263,98.96,25,2375,15,197,38.85,98249,7157.003,182,0:04:22,1783704,4.17
