Video title,Video publish time,End screen element clicks,Card clicks,Views from playlist,Comments added,Shares,Likes (vs. dislikes) (%),Dislikes,Likes,Subscribers lost,Subscribers gained,Average percentage viewed (%),Views,Watch time (hours),Subscribers,Average view duration,Impressions,Impressions click-through rate (%)
Shaheen Shah Afridi Blistering Batting Against West Indies | Pakistan vs West Indies | PCB | MO2A,21-May-23,3868,1,5,29,1074,95.62,175,3822,40,1102,45.73,496035,16698.239,1062,0:02:01,5876379,5.9
PSL 9 | 1st Innings Highlights | Peshawar Zalmi vs Quetta Gladiators | Match 25 | M2A1A,8-Mar-24,3800,0,1975,116,1024,98.44,91,5744,44,614,57.01,413115,33689.3896,570,0:04:53,2941715,12.32
Highest Chase in T20I Cricket By Babar Azam & M Rizwan | Pakistan vs West Indies | T20I | PCB | MK2A,2-Oct-23,3792,0,12,375,3708,96.2,806,20395,263,4455,27.61,3391814,275522.4886,4192,0:04:52,46406496,6.03
Quetta Need 4️⃣4️⃣ Runs in 1️⃣8️⃣ Balls | Sarfaraz Ahmed's Show Time | Islamabad vs Quetta | ML2A,21-Jun-23,3722,2,,49,473,98.32,43,2511,25,192,47.44,209832,9097.1239,167,0:02:36,3131491,5.29
2nd Innings Highlights | Lahore Qalandars vs Karachi Kings | Match 10 | HBL PSL 9 | M2A1A,24-Feb-24,3673,0,107,98,830,97.83,65,2926,39,490,56.33,284085,22671.3136,451,0:04:47,2803553,8.97
2nd Innings Highlights | Pakistan vs New Zealand | 5th T20I 2024 | PCB | M2E2A,27-Apr-24,3659,0,4,259,1145,97.05,175,5754,39,826,50.24,673589,47937.342,787,0:04:16,7401637,7.71
Shahid Afridi vs Harbhajan Singh | 6️⃣ Balls 6️⃣ Sixes | 6️⃣-6️⃣-6️⃣-6️⃣-6️⃣-6️⃣ | PCB | MA2A,23-Jul-23,3601,0,,128,2679,95.53,223,4765,50,1335,67.68,943825,17212.3463,1285,0:01:05,10819464,7.57
Shahid Afridi Always Performs Well in Crucial Stage | Pakistan vs New Zealand | 4th ODI | PCB | MA2A,28-Mar-23,3588,1,4,64,1268,95.98,152,3632,46,1318,38.33,795224,40725.1606,1272,0:03:04,11708316,5.64
Pakistan vs Australia | 3rd T20I Highlights | PCB | MA2E,27-Aug-21,3550,0,3,8,467,93.93,123,1904,20,843,28.62,485277,45179.7708,823,0:05:35,6643809,5.81
Match Saving 196 By Babar Azam Against Australia | Pakistan vs Australia | 2nd Test 2022 |PCB | MM2L,27-Nov-22,3538,0,,84,3314,98.55,75,5105,32,634,34.31,328434,20655.9532,602,0:03:46,4246374,6.35
2nd Innings Highlights | Pakistan vs New Zealand | 4th T20I 2024 | PCB | M2E2A,25-Apr-24,3511,0,2,890,901,96.48,197,5395,72,853,49.29,641240,45563.1775,781,0:04:15,6219377,9.19
Mohammad Amir's Magical 1st Over in HBL PSL History | Peshawar vs Karachi | HBL PSL | MB2A,15-Jun-23,3495,0,9,117,3250,97.42,147,5541,66,718,40.88,1167503,32880.772,652,0:01:41,14015943,7.41
Target 300 & Pakistan 4-82 | Great Fight By PAK | Pakistan vs New Zealand | 4th ODI 2014 |PCB | MA2A,8-Apr-23,3475,1,4,39,998,95.88,149,3467,44,597,40.13,676130,39267.7768,553,0:03:29,9402139,6.06
Gladiators Created History | High Scoring PSL Match | Quetta vs Peshawar | HBL PSL 2023 | MI2A,14-Feb-24,3390,0,1,147,1646,97.14,259,8810,97,2481,33.06,700065,64158.29,2384,0:05:29,12266393,4.54
4️⃣-6️⃣-4️⃣-4️⃣-4️⃣ | Babar Azam vs Hunain Shah | Peshawar Zalmi vs Islamabad United | M2A1A,26-Feb-24,3360,0,63,78,637,98.9,26,2334,26,235,51.85,242756,6713.5653,209,0:01:39,2815454,7.22
Shaheen Shah Afridi First over Wickets Compilation!,4-Aug-23,3337,3,2,60,4129,98.8,42,3461,31,261,41.83,226960,5511.4531,230,0:01:27,2047322,9.03
Fakhar Zaman Played Like Alone Fighter Against Proteas | South Africa vs Pakistan | ODI | CSA | MJ2A,29-May-23,3311,0,2,84,1291,96.57,145,4080,29,858,36.9,542752,43840.1344,829,0:04:50,9532777,4.29
Highlights | Pakistan vs Australia | T20I | PCB | MM2A,21-Aug-23,3291,0,28,198,1591,96.34,312,8201,109,2126,33.36,1046924,96248.3253,2017,0:05:30,11743155,7.96
You Will Love To Watch These Sixes | Azam Khan Sixes | HBL PSL 8 | MI2A,24-Feb-23,3284,0,,94,1587,96.36,102,2698,24,597,54.27,407565,9154.4486,573,0:01:20,5505937,6.46
